date time sender month day length count word ily miss baby sex sorry insult tired drag n_pos n_neg anger anticipation disgust fear joy sadness surprise trust negative positive
2018-09-10 17 Maik Sep Mon 19 13642 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
2018-09-10 17 Andrew Sep Mon 7 19937 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2018-09-10 17 Andrew Sep Mon 35 19937 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2018-09-10 17 Maik Sep Mon 36 13642 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 1
2018-09-10 17 Andrew Sep Mon 91 19937 18 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2018-09-10 17 Andrew Sep Mon 5 19937 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2018-09-10 17 Andrew Sep Mon 13 19937 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2018-09-10 17 Maik Sep Mon 11 13642 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2018-09-10 18 Andrew Sep Mon 14 19937 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2018-09-10 18 Maik Sep Mon 19 13642 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2018-09-10 18 Andrew Sep Mon 8 19937 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2018-09-10 18 Maik Sep Mon 8 13642 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2018-09-10 18 Maik Sep Mon 55 13642 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1
2018-09-10 18 Andrew Sep Mon 7 19937 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1
2018-09-10 18 Maik Sep Mon 19 13642 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
